time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7
0.0,0.0,0.0,0.0,-1.44,0.0,1.5,0.9,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1.5002804892546867e-09,-1.9289320576131686e-09,1.0716289208962048e-09,-1.4400000017574714,8.573031367169638e-10,1.5000000019289321,0.8999999984997196,5.989090310928213e-07,-7.700258971193417e-07,4.2779216506630093e-07,-7.015791507087338e-07,3.422337320530408e-07,7.700258971193416e-07,-5.989090310928213e-07,0.0001790717972565158,-0.0002302351679012346,0.000127908426611797,-0.00020976981964334715,0.00010232674128943761,0.00023023516790123458,-0.0001790717972565158
0.02,2.3812517165066304e-08,-3.0616093497942394e-08,1.7008940832190218e-08,-1.440000027894663,1.3607152665752175e-08,1.5000000306160934,0.8999999761874828,4.743359882944673e-06,-6.098605563786008e-06,3.388114202103338e-06,-5.556507291449476e-06,2.7104913616826705e-06,6.098605563786008e-06,-4.743359882944673e-06,0.0007067287879286697,-0.0009086512987654325,0.0005048062770919069,-0.0008278822944307277,0.00040384502167352556,0.0009086512987654324,-0.0007067287879286697
0.03,1.1958443e-07,-1.5375141000000002e-07,8.541745000000001e-08,-1.4400001400846179,6.833396000000001e-08,1.50000015375141,0.89999988041557,1.5848217e-05,-2.0376279000000006e-05,1.1320155000000002e-05,-1.856505420000001e-05,9.056124000000002e-06,2.0376279000000003e-05,-1.5848217e-05,0.0015688134,-0.0020170458,0.001120581,-0.0018377528400000008,0.0008964648000000001,0.0020170457999999997,-0.0015688134
0.04,3.749084906812986e-07,-4.820252023045268e-07,2.6779177905807045e-07,-1.4400004391785175,2.1423342324645637e-07,1.5000004820252022,0.8999996250915093,3.718796419570187e-05,-4.7813096823045266e-05,2.656283156835848e-05,-4.356304377210792e-05,2.1250265254686788e-05,4.781309682304526e-05,-3.718796419570187e-05,0.0027514068104252404,-0.0035375230419753094,0.001965290578875172,-0.003223076549355283,0.0015722324631001377,0.003537523041975309,-0.0027514068104252404
0.05,9.07930026863283e-07,-1.1673386059670783e-06,6.485214477594879e-07,-1.4400010635751743,5.188171582075903e-07,1.500001167338606,0.8999990920699732,7.18990840763603e-05,-9.244167952674898e-05,5.135648862597165e-05,-8.422464134659353e-05,4.108519090077732e-05,9.244167952674896e-05,-7.18990840763603e-05,0.004240827331961592,-0.005452492283950619,0.0030291623799725657,-0.00496782630315501,0.0024233299039780527,0.005452492283950618,-0.004240827331961592
0.06,1.86747904e-06,-2.40104448e-06,1.3339136e-06,-1.440002187618304,1.0671308800000001e-06,1.50000240104448,0.8999981325209601,0.00012298242133333332,-0.000158120256,8.784458666666666e-05,-0.00014406512213333336,7.027566933333333e-05,0.00015812025599999996,-0.00012298242133333332,0.0060236288,-0.007744665600000001,0.004302592,-0.007056250880000003,0.0034420736,0.0077446656,-0.0060236288
0.07,3.4317255754412447e-06,-4.412218596995886e-06,2.4512325538866035e-06,-1.4400040200213884,1.9609860431092827e-06,1.500004412218597,0.8999965682744245,0.0001933055299035208,-0.00024853568130452677,0.00013807537850251488,-0.00022644362074412448,0.00011046030280201191,0.00024853568130452677,-0.0001933055299035208,0.008086598959396432,-0.010397055804938271,0.005776142113854595,-0.00947287306672154,0.004620913691083676,0.01039705580493827,-0.008086598959396432
0.08,5.80685848347508e-06,-7.465960907325103e-06,4.147756059625057e-06,-1.4400068023199377,3.318204847700046e-06,1.5000074659609073,0.8999941931415165,0.00028560500399817107,-0.0003672064337119343,0.00020400357428440792,-0.0003345658618264291,0.00016320285942752634,0.0003672064337119342,-0.00028560500399817107,0.010416757851303157,-0.013392974380246917,0.007440541322359398,-0.012202487768669418,0.005952433057887519,0.013392974380246916,-0.010416757851303157
0.09,9.225787409999998e-06,-1.1861726669999998e-05,6.589848149999999e-06,-1.4400108073509659,5.2718785199999995e-06,1.50001186172667,0.89999077421259,0.000402488793,-0.0005174855910000001,0.000287491995,-0.00047148687180000016,0.000229993596,0.000517485591,-0.000402488793,0.013001356199999998,-0.0167160294,0.009286682999999999,-0.015230160120000003,0.007429346399999999,0.016716029399999995,-0.013001356199999998
