time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7
0.0,0.0,0.0,0.0,-1.44,0.0,1.5,0.9,0.11666666666666665,-0.15,0.08333333333333333,-0.13666666666666671,0.06666666666666667,0.14999999999999997,-0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0011666666666666668,-0.0015,0.0008333333333333334,-1.4413666666666667,0.0006666666666666668,1.5015,0.8988333333333334,0.11666666666666665,-0.15,0.08333333333333333,-0.13666666666666671,0.06666666666666667,0.14999999999999997,-0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0023333333333333335,-0.003,0.0016666666666666668,-1.4427333333333332,0.0013333333333333335,1.503,0.8976666666666667,0.11666666666666665,-0.15,0.08333333333333333,-0.13666666666666671,0.06666666666666667,0.14999999999999997,-0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0034999999999999996,-0.0045000000000000005,0.0025,-1.4441,0.002,1.5045,0.8965000000000001,0.11666666666666665,-0.15,0.08333333333333333,-0.13666666666666671,0.06666666666666667,0.14999999999999997,-0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.004666666666666667,-0.006,0.0033333333333333335,-1.4454666666666667,0.002666666666666667,1.506,0.8953333333333333,0.11666666666666665,-0.15,0.08333333333333333,-0.13666666666666671,0.06666666666666667,0.14999999999999997,-0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.005833333333333333,-0.0075,0.004166666666666667,-1.4468333333333332,0.0033333333333333335,1.5075,0.8941666666666667,0.11666666666666665,-0.15,0.08333333333333333,-0.13666666666666671,0.06666666666666667,0.14999999999999997,-0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.006999999999999999,-0.009000000000000001,0.005,-1.4482,0.004,1.509,0.893,0.11666666666666665,-0.15,0.08333333333333333,-0.13666666666666671,0.06666666666666667,0.14999999999999997,-0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.008166666666666666,-0.0105,0.005833333333333334,-1.4495666666666667,0.004666666666666667,1.5105,0.8918333333333334,0.11666666666666665,-0.15,0.08333333333333333,-0.13666666666666671,0.06666666666666667,0.14999999999999997,-0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.009333333333333334,-0.012,0.006666666666666667,-1.4509333333333332,0.005333333333333334,1.512,0.8906666666666667,0.11666666666666665,-0.15,0.08333333333333333,-0.13666666666666671,0.06666666666666667,0.14999999999999997,-0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.010499999999999999,-0.0135,0.0075,-1.4523,0.006,1.5135,0.8895000000000001,0.11666666666666665,-0.15,0.08333333333333333,-0.13666666666666671,0.06666666666666667,0.14999999999999997,-0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.011666666666666665,-0.015,0.008333333333333333,-1.4536666666666667,0.006666666666666667,1.515,0.8883333333333333,0.11666666666666665,-0.15,0.08333333333333333,-0.13666666666666671,0.06666666666666667,0.14999999999999997,-0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.012833333333333332,-0.0165,0.009166666666666667,-1.4550333333333332,0.007333333333333334,1.5165,0.8871666666666667,0.11666666666666665,-0.15,0.08333333333333333,-0.13666666666666671,0.06666666666666667,0.14999999999999997,-0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.013999999999999999,-0.018000000000000002,0.01,-1.4564,0.008,1.518,0.886,0.11666666666666665,-0.15,0.08333333333333333,-0.13666666666666671,0.06666666666666667,0.14999999999999997,-0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.015166666666666667,-0.0195,0.010833333333333334,-1.4577666666666667,0.008666666666666668,1.5195,0.8848333333333334,0.11666666666666665,-0.15,0.08333333333333333,-0.13666666666666671,0.06666666666666667,0.14999999999999997,-0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.01633333333333333,-0.021,0.011666666666666667,-1.4591333333333334,0.009333333333333334,1.521,0.8836666666666667,0.11666666666666665,-0.15,0.08333333333333333,-0.13666666666666671,0.06666666666666667,0.14999999999999997,-0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
