time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7
0.0,0.0,0.0,0.0,-1.44,0.0,1.5,0.9,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1.2898234567901236e-07,-1.6583444444444448e-07,9.213024691358026e-08,-1.440000151093605,7.370419753086421e-08,1.5000001658344444,0.8999998710176543,3.863006172839507e-05,-4.9667222222222236e-05,2.7592901234567907e-05,-4.525235802469138e-05,2.2074320987654326e-05,4.966722222222223e-05,-3.863006172839507e-05,0.007700172839506173,-0.009900222222222223,0.005500123456790124,-0.009020202469135806,0.0044000987654320995,0.009900222222222222,-0.007700172839506173
0.02,1.0266943209876544e-06,-1.3200355555555558e-06,7.333530864197532e-07,-1.4400012026990616,5.866824691358026e-07,1.5000013200355555,0.899998973305679,0.00015348839506172839,-0.00019734222222222224,0.00010963456790123457,-0.00017980069135802476,8.770765432098766e-05,0.00019734222222222221,-0.00015348839506172839,0.015245827160493828,-0.01960177777777778,0.010889876543209878,-0.017859397530864206,0.008711901234567903,0.019601777777777777,-0.015245827160493828
0.03,3.4477100000000003e-06,-4.432770000000001e-06,2.4626500000000005e-06,-1.440004038746,1.9701200000000005e-06,1.50000443277,0.89999655229,0.000343035,-0.00044104500000000004,0.000245025,-0.00040184100000000017,0.00019602,0.000441045,-0.000343035,0.022638,-0.029106,0.01617,-0.02651880000000001,0.012936000000000001,0.029105999999999996,-0.022638
0.04,8.131255308641977e-06,-1.0454471111111112e-05,5.8080395061728405e-06,-1.44000952518479,4.646431604938273e-06,1.500010454471111,0.8999918687446914,0.0006057402469135803,-0.000778808888888889,0.00043267160493827165,-0.0007095814320987658,0.00034613728395061736,0.0007788088888888889,-0.0006057402469135803,0.029877728395061726,-0.038414222222222225,0.021341234567901234,-0.03499962469135803,0.017072987654320988,0.03841422222222222,-0.029877728395061726
0.05,1.580131172839506e-05,-2.0315972222222224e-05,1.1286651234567901e-05,-1.4400185101080247,9.029320987654321e-06,1.5000203159722223,0.8999841986882716,0.0009400848765432096,-0.0012086805555555555,0.0006714891975308641,-0.0011012422839506175,0.0005371913580246913,0.0012086805555555553,-0.0009400848765432096,0.03696604938271604,-0.04752777777777777,0.026404320987654318,-0.0433030864197531,0.021123456790123455,0.047527777777777766,-0.03696604938271604
0.06,2.7166720000000003e-05,-3.4928640000000006e-05,1.9404800000000004e-05,-1.440031823872,1.5523840000000005e-05,1.50003492864,0.89997283328,0.00134456,-0.00172872,0.0009604,-0.0015750560000000007,0.0007683200000000001,0.00172872,-0.00134456,0.043904,-0.056448,0.03136,-0.051430400000000015,0.025088,0.05644799999999999,-0.043904
0.07,4.2921283827160496e-05,-5.5184507777777784e-05,3.0658059876543214e-05,-1.4400502792181975,2.4526447901234573e-05,1.5000551845077779,0.8999570787161728,0.001817667098765432,-0.0023370005555555557,0.0012983336419753087,-0.002129267172839507,0.001038666913580247,0.0023370005555555552,-0.001817667098765432,0.050692617283950615,-0.06517622222222222,0.03620901234567901,-0.0593827802469136,0.02896720987654321,0.06517622222222222,-0.050692617283950615
0.08,6.374387358024692e-05,-8.195640888888889e-05,4.553133827160494e-05,-1.4400746713947654,3.642507061728396e-05,1.500081956408889,0.8999362561264198,0.002357918024691358,-0.0030316088888888894,0.0016842271604938274,-0.0027621325432098777,0.001347381728395062,0.003031608888888889,-0.002357918024691358,0.05733293827160493,-0.07371377777777778,0.0409520987654321,-0.06716144197530867,0.03276167901234568,0.07371377777777777,-0.05733293827160493
0.09,9.029852999999998e-05,-0.00011609810999999998,6.449894999999999e-05,-1.440105778278,5.1599159999999996e-05,1.50011609811,0.89990970147,0.002963835,-0.0038106450000000005,0.0021170250000000002,-0.0034719210000000015,0.0016936200000000003,0.003810645,-0.002963835,0.06382599999999998,-0.08206199999999998,0.04558999999999999,-0.07476760000000002,0.036472,0.08206199999999998,-0.06382599999999998
0.1,0.00012323456790123456,-0.00015844444444444443,8.802469135802469e-05,-1.440144360493827,7.041975308641975e-05,1.5001584444444445,0.8998767654320988,0.00363395061728395,-0.004672222222222222,0.0025956790123456788,-0.004256913580246915,0.002076543209876543,0.004672222222222222,-0.00363395061728395,0.07017283950617284,-0.09022222222222222,0.050123456790123457,-0.0822024691358025,0.04009876543209877,0.09022222222222222,-0.07017283950617284
0.11,0.00016318667987654317,-0.00020981144555555555,0.00011656191419753085,-1.440191161539284,9.324953135802469e-05,1.5002098114455555,0.8998368133201234,0.004366807839506173,-0.005614467222222223,0.003119148456790124,-0.005115403469135805,0.0024953187654320995,0.005614467222222222,-0.004366807839506173,0.0763744938271605,-0.09819577777777778,0.05455320987654321,-0.0894672641975309,0.04364256790123457,0.09819577777777777,-0.0763744938271605
0.12,0.00021077504000000007,-0.0002709964800000001,0.00015055360000000006,-1.440246907904,0.00012044288000000006,1.50027099648,0.89978922496,0.005160959999999999,-0.00663552,0.0036864,-0.0060456960000000014,0.00294912,0.006635519999999999,-0.005160959999999999,0.082432,-0.10598400000000002,0.05888000000000001,-0.09656320000000004,0.04710400000000001,0.10598400000000001,-0.082432
0.13,0.0002666054075308642,-0.0003427783811111111,0.00019043243395061728,-1.440312309191679,0.00015234594716049383,1.5003427783811112,0.8997333945924691,0.006014970802469135,-0.007733533888888889,0.0042964077160493825,-0.0070461086543209895,0.003437126172839506,0.007733533888888888,-0.006014970802469135,0.0883463950617284,-0.11358822222222223,0.06310456790123457,-0.10349149135802474,0.05048365432098766,0.11358822222222222,-0.0883463950617284
0.14,0.0003312692306172839,-0.00042591758222222225,0.00023662087901234568,-1.4403880582415802,0.00018929670320987654,1.5004259175822223,0.8996687307693827,0.006927414320987655,-0.008906675555555557,0.004948153086419754,-0.008114971061728399,0.003958522469135803,0.008906675555555556,-0.006927414320987655,0.09411871604938273,-0.1210097777777778,0.06722765432098766,-0.11025335308641981,0.053782123456790135,0.12100977777777779,-0.09411871604938273
0.15,0.00040534374999999994,-0.0005211562499999999,0.00028953124999999997,-1.44047483125,0.00023162499999999998,1.50052115625,0.89959465625,0.007896874999999998,-0.010153124999999999,0.005640624999999999,-0.009250625000000002,0.004512499999999999,0.010153124999999997,-0.007896874999999998,0.09974999999999999,-0.12825,0.07125,-0.11685000000000004,0.056999999999999995,0.12824999999999998,-0.09974999999999999
0.16,0.0004893921027160494,-0.0006292184177777778,0.00034956578765432103,-1.440573287891753,0.00027965263012345686,1.5006292184177779,0.899510607897284,0.00892194765432099,-0.011471075555555559,0.006372819753086421,-0.010451424395061734,0.0050982558024691375,0.011471075555555557,-0.00892194765432099,0.10524128395061728,-0.13531022222222222,0.07517234567901235,-0.12328264691358029,0.06013787654320988,0.13531022222222222,-0.10524128395061728
